Submission ID,1.1 Which of the following most closely matches your primary job function?:  ,1.2 How long have you been working in your current company role?,1.3 What is your year of birth?,Specifying requirements,Designing software,Implementing software,Testing,The activities after release,Other,2.2. How much do you agree with the following statements?: I know who uses the software I contribute to in my work,2.2. How much do you agree with the following statements?: I need to ask for permission to contact users,2.2. How much do you agree with the following statements?: I frequently have direct contact with users,2.2. How much do you agree with the following statements?: I have sufficient information about users needs,2.2. How much do you agree with the following statements?: I have information about users that is relevant for my work ,2.2. How much do you agree with the following statements?: The information I have about users is up to date
1,5,48,1963,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,5,3,4,4
2,0,60,1968,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3,1,2,2,3,2
3,0,21,1980,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,2,3,3,4,4
4,6,29,1972,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,3,4,4,4,5
5,4,30,1980,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,2,2,2,2
6,0,38,1978,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,4,2,2,3
7,3,33,1978,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,4,4,3,4,3
8,0,35,1975,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,1,4,5,5,5
9,0,9,1970,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,1,5,4,4,4
10,1,3,1970,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,3,4,2,1,1,1
11,2,17,1965,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,1,4,4,4,4
12,0,30,1987,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,1,NA,NA,NA,NA
13,0,17,1981,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5,4,2,3,4,4
14,0,31,1977,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3,1,2,NA,3,NA
15,6,18,1984,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,5,3,2,4,3
16,0,43,1967,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,4,1,2,2,2
17,3,1,1958,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,3,2,2,3,3
18,6,4,1969,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,5,3,5,5,5,5
19,0,14,1961,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,5,1,2,2,2
20,0,21,1972,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,5,2,5,4,2,4
21,0,29,1989,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,1,5,3,4,3
22,0,30,1978,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,1,2,4,3,3
23,3,38,1973,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,5,1,2,3,4,4
24,0,33,1965,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,4,1,3,4,NA,NA
25,0,35,1982,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,4,4,2,3,3,3
26,3,9,1978,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,1,4,4,4,4
27,0,3,1980,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,1,2,2,2
28,0,17,1977,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,4,2,5,4,NA
29,3,30,1986,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3,2,5,4,4,4
30,0,17,1973,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4,2,4,2,3,3
31,3,31,63,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,4,5,4,4,4
32,0,18,1973,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,3,4,NA
33,0,43,1970,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,4,5,5
34,3,1,1983,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,5,4,4,4,5,4
35,3,4,1977,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,3,4,3,5,3
36,0,14,1955,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4,3,1,3,4,2
37,1,33,1952,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,3,5,4,4,3
38,0,15,1992,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,2,2,4,5,2
39,5,28,1971,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,5,1,1,3,5,5
40,3,21,1990,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,1,3,5,5,1
41,6,29,1993,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1,3,5,2
42,3,30,1970,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,2,4,1,4,3
43,4,38,1972,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,5,3,4,2,5,2
44,3,33,1950,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3,1,4,1,3,4
45,3,35,1988,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,3,5,5,1,5
46,4,9,1983,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,2,3,4,1,3
47,1,3,1975,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4,4,2,3,2,2
48,4,17,1985,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,5,1,2,1,2,5
49,1,30,1958,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,2,1,1,2,2
50,5,17,1966,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,1,2,5,1
51,3,31,1963,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,3,3,3,4,1,4
52,4,18,1971,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,5,1,5,4,2,4
53,3,43,1962,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,4,1,1,5,5,4
54,5,1,1950,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,2,5,2,3,1
55,4,4,1955,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,1,4,1,2,4
56,3,14,1968,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,1,1,3,4,3
57,4,32,1963,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,2,1,4,3
58,3,25,1978,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5,1,1,1,2,1
59,0,32,1965,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,2,1,3,2,2
60,3,44,1954,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,3,1,3,4,5,5
61,4,24,1970,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,4,4,4,2,5,3
62,5,25,1968,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3,3,5,4,4,1
63,0,12,1961,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,5,2,2,1,2,2
64,3,26,1977,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3,2,5,2,5,5
65,5,4,1981,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,1,2,5,2,5
66,1,3,1991,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,3,1,3,1,2,4
67,4,20,1984,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5,4,3,3,2,1
68,4,32,1995,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,4,3,3,5,3,5
69,4,17,1963,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,5,2,4,3,1,1
70,1,29,1990,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2,4,5,5,5,5
71,3,31,1988,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,3,1,3,1,1
72,3,26,1950,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,2,4,1,3,3
73,1,3,1961,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,4,2,4,4,5
74,6,45,1985,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,5,3,3,2,5,2
75,3,5,1953,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,2,1,3,2,4
76,0,25,1963,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,3,2,1,2,1
77,3,23,1980,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,5,2,2,2,1,4
78,4,16,1980,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,5,3,3,1,4,2
79,2,5,1975,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,5,1,5,4,4,4
80,0,42,1992,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3,1,5,4,3,1
81,5,37,1957,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3,2,5,3,2,2
82,2,16,1987,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,4,5,2,1,2
83,2,28,1954,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,5,4,3,1,4,3
84,5,10,1975,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,4,5,5,3,2
85,6,29,1965,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,1,3,4,5,4
86,4,2,1980,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,5,2,5,3,5,5
87,2,41,1989,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,1,5,5,3,5
88,6,26,1951,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,5,4,5,4,2,4
89,5,42,1960,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,3,1,5,3,2,5
90,5,10,1952,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2,3,5,2,1,1
91,2,0,1965,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3,5,2,5,5
92,0,33,1967,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,5,1,3,2,3,3
93,3,40,1975,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3,1,3,5,3,5
94,4,44,1986,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,4,4,3,1,5,3
95,0,21,1972,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,4,2,1,4,4,2
96,0,5,1963,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,4,1,4,5,4,3
97,0,14,1959,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,3,2,5,3,4,4
98,0,8,1964,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,5,2,3,4,4,1
99,2,25,1963,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,1,1,1,3,1
100,2,39,1962,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5,5,3,1,5,5
101,0,30,1988,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,4,2,2,3,2,4
102,0,45,1992,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,5,4,2,5,3,1
103,3,16,1965,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5,1,4,3,3,4
104,0,30,1955,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3,2,3,5,2,1
105,0,8,1991,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,2,2,5,3,1
106,5,34,1976,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4,4,2,1,5,5
107,5,38,1969,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,4,1,1,3,2,5
108,0,28,1993,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,5,5,2,4,3,3
